Data_Zone, SIMD_tot , Inc_rank , Emp_rank , Hlth_rank , Edu_rank , Hou_rank , Acc_rank , Crime_rank 
S01008577,0.48,0.39,0.48,0.29,0.60,0.94,0.69,0.51
S01008578,0.90,0.77,0.90,0.56,0.85,0.94,0.62,0.61
S01008579,0.49,0.55,0.41,0.41,0.72,0.80,0.14,0.52
S01008580,0.47,0.43,0.51,0.52,0.35,0.59,0.28,0.81
S01008581,0.14,0.12,0.11,0.10,0.33,0.37,0.16,0.76
S01008582,0.18,0.16,0.16,0.17,0.22,0.55,0.33,0.29
S01008583,0.26,0.22,0.25,0.23,0.37,0.38,0.45,0.27
S01008584,0.27,0.22,0.28,0.32,0.24,0.43,0.16,0.76
S01008585,0.17,0.14,0.18,0.24,0.12,0.38,0.24,0.50
S01008586,0.21,0.21,0.24,0.18,0.18,0.24,0.34,0.48
S01008587,0.61,0.53,0.83,0.46,0.76,0.84,0.45,0.23
S01008588,0.89,0.79,0.78,0.77,0.81,0.74,0.45,0.70
S01008589,0.58,0.50,0.74,0.53,0.83,0.94,0.14,0.43
S01008590,0.76,0.71,0.75,0.71,0.69,0.78,0.21,0.92
S01008591,0.63,0.62,0.58,0.56,0.77,0.68,0.23,0.79
S01008592,0.37,0.41,0.40,0.40,0.45,0.50,0.10,0.14
S01008593,0.84,0.90,0.84,0.84,0.98,0.91,0.38,0.23
S01008594,0.75,0.72,0.76,0.58,0.76,0.68,0.48,0.58
S01008595,0.15,0.11,0.11,0.08,0.35,0.34,0.58,0.48
S01008596,0.23,0.18,0.22,0.17,0.29,0.31,0.62,0.68
S01008597,0.67,0.67,0.71,0.59,0.71,0.83,0.26,0.54
S01008598,0.57,0.50,0.57,0.57,0.55,0.24,0.75,0.78
S01008599,0.72,0.72,0.65,0.84,0.68,0.56,0.64,0.38
S01008600,0.60,0.53,0.54,0.71,0.66,0.42,0.70,0.60
S01008601,0.75,0.91,0.96,0.78,0.47,0.09,0.59,0.82
S01008602,0.79,0.81,0.85,0.85,0.69,0.28,0.56,0.44
S01008603,0.46,0.37,0.42,0.41,0.52,0.09,0.92,0.84
S01008604,0.73,0.71,0.62,0.83,0.70,0.48,0.76,0.56
